iter	RMSE
0	48801.27301
1	48577.93644
2	48410.74876
3	48125.96088
4	47986.33585
5	47872.56788
6	47720.32103
7	47628.41826
8	47497.7072
9	47359.42702
10	47238.02646
11	46923.34601
12	46654.99303
13	46348.65373
14	46194.82953
15	46006.88101
16	45761.10165
17	45639.65794
18	45410.81558
19	45087.97968
20	44972.30659
21	44680.92984
22	44430.0497
23	44241.01337
24	44047.96288
25	43884.04603
26	43740.11086
27	43467.32031
28	43220.5094
29	43058.84242
30	42962.5717
31	42855.51305
32	42707.81453
33	42466.88929
34	42252.96237
35	42131.0955
36	41887.34438
37	41756.30789
38	41587.56685
39	41461.08376
40	41376.20721
41	41257.35943
42	41167.49333
43	41029.47688
44	40934.53361
45	40851.2406
46	40631.58678
47	40355.94413
48	40243.5643
49	40041.74085
50	39952.95726
51	39807.54737
52	39594.84336
53	39349.63719
54	39194.36903
55	38978.20047
56	38881.00777
57	38738.43052
58	38656.25554
59	38545.11464
60	38374.5015
61	38210.91029
62	38119.20946
63	38053.12765
64	37853.20842
65	37784.15286
66	37673.34676
67	37612.93444
68	37441.94974
69	37378.54593
70	37280.80881
71	37178.93419
72	37114.63655
73	37028.16918
74	36943.8143
75	36778.81365
76	36708.15011
77	36536.27915
78	36388.74016
79	36213.88114
80	36092.75906
81	35988.44633
82	35861.89142
83	35762.5686
84	35690.00149
85	35593.0912
86	35545.83306
87	35464.03258
88	35341.23281
89	35294.1408
90	35126.70456
91	35013.60185
92	34941.38392
93	34885.59854
94	34804.10137
95	34728.3154
96	34591.66176
97	34460.25288
98	34289.16755
99	34219.41655
100	34180.48044
101	34058.17775
102	34010.68014
103	33944.48186
104	33893.04143
105	33779.3705
106	33704.09739
107	33628.46754
108	33539.37455
109	33395.85131
110	33353.65272
111	33298.03567
112	33225.65397
113	33169.14239
114	33134.93268
115	33055.22333
116	33004.7432
117	32932.85352
118	32863.41881
119	32826.57493
120	32774.9633
121	32722.56525
122	32687.12219
123	32588.77202
124	32468.70378
125	32426.33452
126	32286.11085
127	32251.6783
128	32207.63832
129	32107.3217
130	32071.74798
131	32012.27949
132	31984.10038
133	31937.14825
134	31900.18088
135	31864.35741
136	31797.18408
137	31750.46107
138	31670.67115
139	31619.67088
140	31510.15926
141	31471.79723
142	31446.91163
143	31383.88239
144	31281.85841
145	31245.99259
146	31198.9876
147	31138.41286
148	31014.92367
149	30943.85532
150	30861.18781
151	30805.72933
152	30767.78118
153	30671.93904
154	30625.56188
155	30443.74796
156	30382.10363
157	30354.33201
158	30320.48648
159	30296.22903
160	30246.15261
161	30175.9844
162	30154.3216
163	30106.13162
164	30056.95781
165	30025.63345
166	29979.46247
167	29959.03721
168	29928.98579
169	29879.27977
170	29846.98137
171	29815.29232
172	29726.10782
173	29670.02305
174	29635.81787
175	29605.02396
176	29586.06293
177	29551.46574
178	29500.32354
179	29449.54187
180	29389.68625
181	29354.81412
182	29284.32931
183	29250.35817
184	29211.02545
185	29153.03996
186	29057.65826
187	28958.9872
188	28933.24704
189	28858.80882
190	28769.4789
191	28667.0391
192	28601.062
193	28568.5254
194	28461.86587
195	28440.3145
196	28414.57299
197	28391.91349
198	28335.79812
199	28269.01621
200	28184.34274
201	28101.35195
202	28034.66405
