iter	Passed	Remaining
0	1	1061
1	1	974
2	2	928
3	3	924
4	4	917
5	5	885
6	6	882
7	6	852
8	7	853
9	8	861
10	9	839
11	10	842
12	11	846
13	12	862
14	13	860
15	14	861
16	14	858
17	15	853
18	16	851
19	17	851
20	18	852
21	19	846
22	19	840
23	20	836
24	21	834
25	22	835
26	23	831
27	23	832
28	24	830
29	25	830
30	26	813
31	26	815
32	28	826
33	29	834
34	30	833
35	31	832
36	31	831
37	32	828
38	33	828
39	34	827
40	34	813
41	35	811
42	36	813
43	37	813
44	38	813
45	39	814
46	40	811
47	40	810
48	41	808
49	42	808
50	43	805
51	44	802
52	44	798
53	45	794
54	46	790
55	46	786
56	47	782
57	47	778
58	48	774
59	49	770
60	49	766
61	50	762
62	51	759
63	51	751
64	51	747
65	52	744
66	53	741
67	53	733
68	54	730
69	54	727
70	55	725
71	56	722
72	56	719
73	57	717
74	57	714
75	58	712
76	59	709
77	59	707
78	60	704
79	61	702
80	61	700
81	62	697
82	62	695
83	63	693
84	64	691
85	64	688
86	65	683
87	65	681
88	66	679
89	66	677
90	67	675
91	68	673
92	68	671
93	69	669
94	70	668
95	70	666
96	71	665
97	72	663
98	72	661
99	73	659
100	73	654
101	74	653
102	74	652
103	75	650
104	76	649
105	76	647
106	77	646
107	78	644
108	78	643
109	79	641
110	79	640
111	80	638
112	81	637
113	81	636
114	82	632
115	82	630
116	83	629
117	84	628
118	84	627
119	85	624
120	85	623
121	86	622
122	87	621
123	87	619
124	88	619
125	89	617
126	89	616
127	90	615
128	90	614
129	91	613
130	92	611
131	92	610
132	93	608
133	93	607
134	94	605
135	95	604
136	95	603
137	96	602
138	97	601
139	97	600
140	98	599
141	99	599
142	99	598
143	100	597
144	101	596
145	101	595
146	102	594
147	103	594
148	103	593
149	104	592
150	105	591
151	105	590
152	106	589
153	107	588
154	107	587
155	108	586
156	109	585
157	109	584
158	110	583
159	110	582
160	111	582
161	112	581
162	113	580
163	113	580
164	114	579
165	115	578
166	115	577
167	116	576
168	117	576
169	117	575
170	118	574
171	119	574
172	119	573
173	120	572
174	121	571
175	121	570
176	122	569
177	123	568
178	123	567
179	124	566
180	125	565
181	125	565
182	126	564
183	127	563
184	127	562
185	128	561
186	128	560
187	129	559
188	130	558
189	130	557
190	131	556
191	132	555
192	132	555
193	133	554
194	134	553
195	134	552
196	135	551
197	135	550
198	136	549
199	137	548
200	137	547
201	138	547
202	139	546
203	139	545
204	140	544
205	141	544
206	141	543
207	142	542
208	143	541
209	143	540
210	144	539
211	144	538
212	145	537
213	146	537
214	146	536
215	147	535
216	148	534
217	148	533
218	149	532
219	149	531
220	150	530
221	151	530
222	151	529
223	152	528
224	153	527
225	153	526
226	154	526
227	155	525
228	155	524
229	156	523
230	157	522
231	157	521
232	158	521
233	158	520
234	159	519
235	160	518
236	160	517
237	161	516
238	162	516
239	162	515
240	163	514
241	163	513
242	164	512
243	165	511
244	165	511
245	166	510
246	167	509
247	167	508
248	168	508
249	169	507
250	169	506
251	170	506
252	171	505
253	172	505
254	172	504
255	173	503
256	174	503
257	174	502
258	175	501
259	175	500
260	176	500
261	177	499
262	177	498
263	178	498
264	179	497
265	179	496
266	180	495
267	181	495
268	182	495
269	183	495
270	184	495
271	184	494
272	185	494
273	186	493
274	186	492
275	187	492
276	188	491
277	188	490
278	189	490
279	190	489
280	191	488
281	191	488
282	192	487
283	193	486
284	193	486
285	194	485
286	195	485
287	196	484
288	196	484
289	197	483
290	198	483
291	199	482
292	199	482
293	200	481
294	201	480
295	201	480
296	202	479
297	203	478
298	204	478
299	205	479
300	205	478
301	206	477
302	207	476
303	208	476
304	208	475
305	209	475
306	210	474
307	211	474
308	211	473
309	212	473
310	213	472
311	214	472
312	214	471
313	215	470
314	216	469
315	216	469
316	217	469
317	218	468
318	219	468
319	220	467
320	220	467
321	221	466
322	222	465
323	222	465
324	223	464
325	224	463
326	224	462
327	225	462
328	226	461
329	226	460
330	227	459
331	228	459
332	228	458
333	229	457
334	230	456
335	230	456
336	231	455
337	232	455
338	233	454
339	233	453
340	234	452
341	234	452
342	235	451
343	236	450
344	236	449
345	237	448
346	238	448
347	238	447
348	239	446
349	240	446
350	240	445
351	241	444
352	242	444
353	242	443
354	243	442
355	244	441
356	245	441
357	245	440
358	246	440
359	247	439
360	247	438
361	248	437
362	249	437
363	250	436
364	250	436
365	251	435
366	251	434
367	252	433
368	253	433
369	253	432
370	254	431
371	255	430
372	255	430
373	256	429
374	257	428
375	257	427
376	258	426
377	258	426
378	259	425
379	260	424
380	260	423
381	261	423
382	262	422
383	262	421
384	263	421
385	264	420
386	264	419
387	265	418
388	266	418
389	266	417
390	267	416
391	268	415
392	268	415
393	269	414
394	269	413
395	270	412
396	271	412
397	271	411
398	272	410
399	273	409
400	274	409
401	274	408
402	275	408
403	276	407
404	276	406
405	277	406
406	278	405
407	278	404
408	279	404
409	280	403
410	280	402
411	281	401
412	282	401
413	282	400
414	283	399
415	284	399
416	285	398
417	285	397
418	286	397
419	287	396
420	287	395
421	288	395
422	289	394
423	289	393
424	290	393
425	291	392
426	291	391
427	292	390
428	292	389
429	293	389
430	294	388
431	294	387
432	295	387
433	296	386
434	296	385
435	297	384
436	298	384
437	298	383
438	299	382
439	300	381
440	300	381
441	301	380
442	301	379
443	302	378
444	303	378
445	303	377
446	304	376
447	305	376
448	305	375
449	306	374
450	307	373
451	307	373
452	308	372
453	309	371
454	309	370
455	310	370
456	310	369
457	311	368
458	312	368
459	312	367
460	313	366
461	314	365
462	314	365
463	315	364
464	316	363
465	316	363
466	317	362
467	318	361
468	318	361
469	319	360
470	320	359
471	320	358
472	321	358
473	322	357
474	322	356
475	323	356
476	324	355
477	324	354
478	325	353
479	326	353
480	326	352
481	327	351
482	327	351
483	328	350
484	329	349
485	329	348
486	330	348
487	331	347
488	331	346
489	332	346
490	333	345
491	333	344
492	334	344
493	335	343
494	335	342
495	336	342
496	337	341
497	337	340
498	338	339
499	339	339
500	339	338
501	340	337
502	341	337
503	341	336
504	342	335
505	343	335
506	343	334
507	344	333
508	345	333
509	345	332
510	346	331
511	347	331
512	348	330
513	348	329
514	349	329
515	350	328
516	350	327
517	351	327
518	352	326
519	353	325
520	353	325
521	354	324
522	355	324
523	355	323
524	356	322
525	357	322
526	358	321
527	358	320
528	359	320
529	360	319
530	360	318
531	361	317
532	362	317
533	362	316
534	363	315
535	364	315
536	365	314
537	365	313
538	366	313
539	366	312
540	367	311
541	368	311
542	368	310
543	369	309
544	370	309
545	371	308
546	371	307
547	372	307
548	373	306
549	373	305
550	374	305
551	375	304
552	376	304
553	376	303
554	377	302
555	378	302
556	379	301
557	379	300
558	380	300
559	381	299
560	382	299
561	382	298
562	383	297
563	384	297
564	385	296
565	385	295
566	386	295
567	387	294
568	388	293
569	388	293
570	389	292
571	390	292
572	390	291
573	391	290
574	392	290
575	393	289
576	393	288
577	394	288
578	395	287
579	395	286
580	396	285
581	397	285
582	397	284
583	398	283
584	399	283
585	399	282
586	400	281
587	401	281
588	401	280
589	402	279
590	403	279
591	404	278
592	404	277
593	405	277
594	406	276
595	406	275
596	407	275
597	408	274
598	408	273
599	409	273
600	410	272
601	411	271
602	411	271
603	412	270
604	413	269
605	413	269
606	414	268
607	415	267
608	415	266
609	416	266
610	417	265
611	417	264
612	418	264
613	418	263
614	419	262
615	420	261
616	420	261
617	421	260
618	422	259
619	422	259
620	423	258
621	424	257
622	424	257
623	425	256
624	426	255
625	426	255
626	427	254
627	428	253
628	428	252
629	429	252
630	430	251
631	430	250
632	431	250
633	432	249
634	432	248
635	433	247
636	433	247
637	434	246
638	435	245
639	435	245
640	436	244
641	437	243
642	437	243
643	438	242
644	439	241
645	439	240
646	440	240
647	441	239
648	441	238
649	442	238
650	442	237
651	443	236
652	444	236
653	444	235
654	445	234
655	446	233
656	446	233
657	447	232
658	448	231
659	448	231
660	449	230
661	450	229
662	450	229
663	451	228
664	451	227
665	452	226
666	453	226
667	453	225
668	454	224
669	455	224
670	455	223
671	456	222
672	457	222
673	457	221
674	458	220
675	458	219
676	459	219
677	460	218
678	460	217
679	461	217
680	462	216
681	462	215
682	463	215
683	464	214
684	464	213
685	465	212
686	466	212
687	466	211
688	467	210
689	467	210
690	468	209
691	469	208
692	469	208
693	470	207
694	471	206
695	471	206
696	472	205
697	473	204
698	474	204
699	474	203
700	475	202
701	476	202
702	477	201
703	477	200
704	478	200
705	479	199
706	479	198
707	480	198
708	481	197
709	481	196
710	482	196
711	483	195
712	483	194
713	484	194
714	485	193
715	485	192
716	486	192
717	487	191
718	487	190
719	488	189
720	489	189
721	489	188
722	490	187
723	491	187
724	491	186
725	492	185
726	493	185
727	493	184
728	494	183
729	495	183
730	495	182
731	496	181
732	497	181
733	497	180
734	498	179
735	499	179
736	499	178
737	500	177
738	501	176
739	501	176
740	502	175
741	503	174
742	503	174
743	504	173
744	505	172
745	505	172
746	506	171
